strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,40-49,Total,Total,782,1320,1124,40723
2One-Way,2009,Statewide,Total,40-49,Total,Total,699,1094,1085,39791
2One-Way,2010,Statewide,Total,40-49,Total,Total,595,893,953,38479
2One-Way,2011,Statewide,Total,40-49,Total,Total,568,790,858,36370
2One-Way,2012,Statewide,Total,40-49,Total,Total,443,634,761,34410
2One-Way,2013,Statewide,Total,40-49,Total,Total,404,563,669,31914
2One-Way,2014,Statewide,Total,40-49,Total,Total,325,446,632,29559
2One-Way,2015,Statewide,Total,40-49,Total,Total,286,388,543,27241
2One-Way,2016,Statewide,Total,40-49,Total,Total,240,374,488,25329
2One-Way,2017,Statewide,Total,40-49,Total,Total,212,280,427,23216
