strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,13-19,Total,Total,5,87,208,1629
2One-Way,2009,Statewide,Total,13-19,Total,Total,5,77,202,1544
2One-Way,2010,Statewide,Total,13-19,Total,Total,4,73,180,1396
2One-Way,2011,Statewide,Total,13-19,Total,Total,0,55,196,1276
2One-Way,2012,Statewide,Total,13-19,Total,Total,2,37,157,1116
2One-Way,2013,Statewide,Total,13-19,Total,Total,0,38,143,959
2One-Way,2014,Statewide,Total,13-19,Total,Total,0,20,130,827
2One-Way,2015,Statewide,Total,13-19,Total,Total,0,21,115,693
2One-Way,2016,Statewide,Total,13-19,Total,Total,1,21,107,546
2One-Way,2017,Statewide,Total,13-19,Total,Total,0,15,96,450
