year,reported,crude
2006,1887,151.8
2007,1979,159
2008,1664,133.2
2009,1326,105.5
2010,1208,95.9
2011,1159,91.3
2012,1081,83.8
2013,1011,77
2014,1080,81.3
2015,1135,84.5
2016,1049,77.5
2017,987,72.9
