year,reported,crude,ageAdj
2006,8900,233.7,231
2007,9237,241.6,238.5
2008,8256,214.1,211.1
2009,6400,164.5,161.9
2010,5960,152,148.3
2011,5158,130.9,126.8
2012,4604,115.7,111.5
2013,4185,104.3,100.2
2014,4478,110.9,105
2015,4315,106.2,99.6
2016,3798,93.2,87.9
2017,3278,80.4,75.8
