year,reported,crude,ageAdj
2006,5075,120.1,115.2
2007,5120,120.8,115.3
2008,4449,104.3,99
2009,3603,83.7,78.9
2010,3301,76.2,71.4
2011,3011,69.3,64.7
2012,2667,60.9,55.9
2013,2519,57.1,52.3
2014,2989,67.4,60.6
2015,2656,59.6,53.6
2016,2333,52.3,47.4
2017,2025,45.4,40.9
