year,reported,crude
2006,233,85
2007,265,95.4
2008,317,113.1
2009,273,96.3
2010,219,75.9
2011,195,67.6
2012,234,80.5
2013,209,71.5
2014,213,72.7
2015,182,61.4
2016,173,57.5
2017,174,57.9
