year,reported,crude,ageAdj
2006,524,114.5,105
2007,481,104.6,95.2
2008,476,102.7,94.5
2009,364,78,71
2010,399,85,77.6
2011,383,81.3,73.6
2012,304,64.5,59.9
2013,257,54.4,50
2014,309,65.3,58.9
2015,271,57.2,51.6
2016,311,65.3,61.2
2017,221,46.4,44.6
