year,reported,crude,ageAdj
2006,2047,93.7,88
2007,2055,93.8,87.5
2008,1979,89.6,83.6
2009,1812,81.1,75.1
2010,1579,70.1,64.3
2011,1517,67.1,61.6
2012,1332,58.5,53.1
2013,1242,54.1,48.7
2014,1425,61.6,54.7
2015,1291,55.5,48.9
2016,1127,48.3,43.1
2017,977,41.9,37.5
