year,reported,crude
2006,4902,498
2007,4989,503.8
2008,4355,434.3
2009,3322,327.4
2010,3032,294.4
2011,2501,241.1
2012,2051,194.8
2013,1814,169.9
2014,1996,184.7
2015,1724,158.7
2016,1389,128.1
2017,1133,104.5
