year,reported,crude
2006,855,65.3
2007,959,72.5
2008,864,64.1
2009,755,55.1
2010,731,52.8
2011,677,48.5
2012,673,47.9
2013,676,48
2014,745,52.8
2015,797,56.8
2016,752,54
2017,703,50.5
