year,reported,crude
2006,1379,221.6
2007,1594,245.9
2008,1553,231.7
2009,1377,197.8
2010,1415,195.6
2011,1365,183.9
2012,1331,174.4
2013,1273,162.8
2014,1689,209.8
2015,1546,186.3
2016,1253,146.9
2017,1045,122.5
