year,reported,crude,ageAdj
2006,14155,176.2,171.4
2007,14565,180.7,175.3
2008,12795,157.5,152.5
2009,10051,122.7,118.1
2010,9261,112.2,107.2
2011,8171,98.6,93.7
2012,7273,87.0,82.0
2013,6704,79.6,74.6
2014,7470,88.2,81.3
2015,6972,81.9,75.2
2016,6133,71.8,66.4
2017,5308,62.2,57.4
