year,reported,crude
2006,555,135.3
2007,651,158.9
2008,634,154.6
2009,506,122.4
2010,475,113.8
2011,434,103.4
2012,389,91.1
2013,383,87.4
2014,472,105.7
2015,424,93
2016,376,80.7
2017,355,76.2
