year,reported,crude
2006,141,7
2007,167,8.3
2008,176,8.7
2009,135,6.7
2010,115,5.7
2011,99,5
2012,100,5
2013,87,4.4
2014,86,4.3
2015,74,3.7
2016,89,4.5
2017,63,3.2
