year,reported,crude,ageAdj
2006,2931,185.7,175
2007,2784,176,166.3
2008,2591,163.3,153.7
2009,1858,117.3,109.8
2010,1963,123.7,114.6
2011,1720,106.9,97.9
2012,1590,97.8,88.4
2013,1462,89.7,80.5
2014,1674,102.4,90.2
2015,1539,93.8,82.2
2016,1274,77.5,68.8
2017,985,59.9,53
