year,reported,crude,ageAdj
2006,4057,300.9,314.5
2007,4512,333.2,346.8
2008,3529,258.8,268.9
2009,2767,201.1,207.4
2010,2440,176,180.1
2011,2006,143.3,145.8
2012,1739,122.9,124.4
2013,1644,115.2,116.6
2014,1791,124.6,123.5
2015,1614,111.4,110
2016,1441,99,97.6
2017,1323,90.9,90.5
