strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,20-29,Total,Total,59,512,1272,8268
2One-Way,2009,Statewide,Total,20-29,Total,Total,47,507,1280,8708
2One-Way,2010,Statewide,Total,20-29,Total,Total,37,476,1257,9095
2One-Way,2011,Statewide,Total,20-29,Total,Total,65,453,1274,9500
2One-Way,2012,Statewide,Total,20-29,Total,Total,55,401,1197,9850
2One-Way,2013,Statewide,Total,20-29,Total,Total,53,420,1217,10184
2One-Way,2014,Statewide,Total,20-29,Total,Total,43,247,1169,10422
2One-Way,2015,Statewide,Total,20-29,Total,Total,33,239,1138,10315
2One-Way,2016,Statewide,Total,20-29,Total,Total,47,260,990,10122
2One-Way,2017,Statewide,Total,20-29,Total,Total,30,226,972,9614
